 n 	 suit 	 rank 	 match or mismatch 
 1 	 c 	 6  
 2 	 s 	 Q 	 match not found  
 3 	 s 	 9 	 match not found  
 4 	 h 	 3 	 match not found  
 5 	 h 	 9 	 match not found  
 6 	 h 	 6 	 match not found  
 7 	 s 	 8 	 match not found  
 8 	 h 	 7 	 match not found  
 9 	 h 	 Q 	 match not found  
 10 	 s 	 8 	 match not found  
 11 	 c 	 3 	 match not found  
 12 	 s 	 1 	 match not found  
 13 	 c 	 1 	 match not found  
 14 	 d 	 6 	 match not found  
 15 	 h 	 8 	 match not found  
 16 	 d 	 6 	 match not found  
 17 	 d 	 J 	 match not found  
 18 	 h 	 A 	 match not found  
 19 	 h 	 A 	 match not found  
 20 	 s 	 K 	 match not found  
 21 	 s 	 9 	 match not found  
 22 	 s 	 8 	 match not found  
 23 	 c 	 A 	 match not found  
 24 	 c 	 1 	 match not found  
 25 	 d 	 K 	 match not found  
 26 	 d 	 J 	 match not found  
 27 	 s 	 7 	 match not found  
 28 	 h 	 1 	 match not found  
 29 	 c 	 A 	 match not found  
 30 	 c 	 9 	 match not found  
 31 	 d 	 9 	 match not found  
 32 	 h 	 A 	 match not found  
 33 	 h 	 1 	 match not found  
 34 	 c 	 Q 	 match not found  
 35 	 d 	 2 	 match not found  
 36 	 h 	 A 	 match not found  
 37 	 h 	 8 	 match not found  
 38 	 s 	 A 	 match not found  
 39 	 s 	 4 	 match not found  
 40 	 h 	 Q 	 match not found  
 41 	 h 	 9 	 match not found  
 42 	 c 	 1 	 match not found  
 43 	 s 	 6 	 match not found  
 44 	 c 	 9 	 match not found  
 45 	 c 	 A 	 match not found  
 46 	 s 	 Q 	 match not found  
 47 	 h 	 Q 	 match not found  
 48 	 c 	 A 	 match not found  
 49 	 h 	 7 	 match not found  
 50 	 s 	 K 	 match not found  
 51 	 c 	 6 	 match found 
